Address,NetAmount,Interactions,Method_encoded,First_Interaction,Last_Interaction,Interaction_Duration
0x0000000000000000000000000000000000000000,-100000000000.0,1,{0: 1},2024-05-29 21:34:35,2024-05-29 21:34:35,0 days 00:00:00
0x72ad95c3b65a0da6826b336c104a929d1e676bf3,68319563839.09846,7,"{0: 1, 1: 2, 19: 2, 20: 2}",2024-05-29 21:34:35,2024-09-18 20:28:23,111 days 22:53:48
0x068ffa6bb53f9a26a8a0350d19ca3450544f0344,2375953.8156335205,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0xc31fa516f1376d525edf6f9e01ab34c3fbbd3c23,2379595.475797564,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0x77ec040154583286586e88bd53de4d466f72514f,2376918.013763696,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0x8c5e9266316af38f8889ba2f0299b8ca9e64b4c4,2376935.9717811793,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0x6c5dc35a9687237bbb386086580f3bfc2bdef320,2380667.034032285,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0x884aa670f712e3aa36bcaa8c5cfc407cd925e5bd,97000000.0,1,{2: 1},2024-05-29 22:33:47,2024-05-29 22:33:47,0 days 00:00:00
0x6046895211886acc8a2247dc47d3c196e3f15721,97000000.0,1,{2: 1},2024-05-29 22:33:47,2024-05-29 22:33:47,0 days 00:00:00
0x86d5211f2125caf31b17021cb1e28c15d8fa41f1,97000000.0,1,{2: 1},2024-05-29 22:33:47,2024-05-29 22:33:47,0 days 00:00:00
0x06e8b59c2c6c761416dea1014600e88ecd34c783,2479894.6559632868,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x63e9de385887b6d00ea10a787343b763efd31e1d,2484540.7466386706,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x9b968da6a634f0c2fa4946c9e4dde533d5d5ed69,2480859.908259183,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x7ea58425fb3f871fd01ae18c157eeec8880701bc,2478103.9296664894,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0xa82d014c971c9a7f0a4c441295336b04d20bfcce,2477198.4990360737,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x6552d32c1a0563d6bd434c761771341058862f78,2480919.9490985423,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x990ed2b67f7fef083aba650bc44ae93b74335b45,2482790.5811889768,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x38c7bfa9af9bf19ad086ff1895a6502fc2b9f3f1,2488361.9859354347,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x77e06a2395f278c0c166dae10f54e56f1ea78a8d,2488382.108235255,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0xc5de2c95c65a050b29cba1dfd38a625edb2b5e10,2480999.8451871425,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x1f4ac5c1535f6b30cda57f353d88a1e5714fac1d,2492122.8606974036,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0xf2bbec367b9c40c4eb2717b745296696f51351b4,2494918.236873716,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0xc21a95c9b0a1881fc53385096d6d9675aa02a3a8,2485686.5857388526,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x1e420292c637b3704e7e900c6e33af9738f79afc,2490332.9306437373,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:34:59,0 days 00:01:12
0x2660d8f260eef09e5be93f11e85f1efa7c4bda1f,2400652.869008854,2,"{2: 1, 7: 1}",2024-05-29 22:33:47,2024-05-29 22:36:23,0 days 00:02:36
0xb742f26ca4760a765ac2f095b01fedae765dda40,230767608.16108096,3,{2: 3},2024-05-29 22:33:47,2024-05-29 22:39:11,0 days 00:05:24
0x3381454380d24f6a9913af81e89ab91700aa0012,647789394.0723993,8,"{2: 3, 4: 5}",2024-05-29 22:33:47,2024-05-29 22:41:23,0 days 00:07:36
0x94243f79880c9e9f68e77bad5786d7ed52a5bcb1,436131852.2040156,6,"{2: 3, 4: 3}",2024-05-29 22:33:47,2024-05-29 22:39:11,0 days 00:05:24
0xcb063124a150e4f8385755d12b9a216f94265434,3846885.8612600937,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 23:03:59,0 days 00:30:12
0x4519b9b604b753f58152ae89fcc3e5bca4856dbd,3960129.8768084645,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 23:03:59,0 days 00:30:12
0x83d2d5bc2ffc236af0a74dd63ea215e4451aecf7,3856304.8693665937,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:58:23,0 days 00:24:36
0x56c0213d75d740ee069922b13779cd74e1dcd0b8,3995889.2546457574,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:46:59,0 days 00:13:12
0xe80f0c3148ca328384a6ceec57fc4a14d372779b,3979422.678350404,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:58:23,0 days 00:24:36
0xecf692a2f49546250ddcde6c64bf8f3338a95bac,4074631.4271088094,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:47:47,0 days 00:14:00
0x401d4994c06cafea0ba15ed9c9e4fc7bc09ca94f,3883092.6114031523,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 23:03:59,0 days 00:30:12
0xa0ebf8506f9eeb88b76afd6a4efec86ed5c1169f,3845421.5085919127,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:58:23,0 days 00:24:36
0x7379640f118bfe2040b909880c958287f029d44b,3741484.404880792,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:58:23,0 days 00:24:36
0xae4015a00b6ee153405c64238e3c844aea1e667a,3876778.8943991065,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:46:59,0 days 00:13:12
0x9c66ae1254762c620415003a89f0a58fa3a9dd76,3963908.5513538644,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:46:59,0 days 00:13:12
0x5593c6edb33e4e39023bb357730001a87841b30d,3812342.214761071,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 23:03:59,0 days 00:30:12
0x55522e44597f79605dd245989dbdea0edbcf9aaf,3821502.197515376,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:47:47,0 days 00:14:00
0x11462ae853e26f118cb56accd1661a6bb3daecc9,4070809.263948813,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:47:47,0 days 00:14:00
0xe5f24e98e1b9d9b7822a2d3a1871d66bccf800b7,3963977.653796226,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:58:23,0 days 00:24:36
0x3a48256005d89f0a7c2d3b8654930de52313ffa0,3779097.234285049,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 23:03:59,0 days 00:30:12
0xfeb9d09c6f8634b93c9373efe700d2a2a3bf1f7e,3838304.9727360904,4,"{2: 2, 7: 2}",2024-05-29 22:33:47,2024-05-29 22:47:47,0 days 00:14:00
