From,To,0
0x0000000000000000000000000000000000000000,0x72ad95c3b65a0da6826b336c104a929d1e676bf3,1
0x0000002e05c03f1940141972c7bf14dab3ad6111,WETHContract,2
0x000014b76f74463b87ebcd8632a03d577c9b6111,WETHContract,2
0x0001166915b5d94b443e65f7398323a1b8adf111,WETHContract,1
0x0001de82c696b6b18f0a401de0463ebb3c631111,WETHContract,2
0x0002a1e702b0bfcdf8f9e10f5e1ce99bfeb4a111,WETHContract,2
0x00034187c8d0d887821587573586f75624c5e111,WETHContract,2
0x000461a73d3985eef4923655782aa5d0de75c111,WETHContract,2
0x0006d09df7b0e8dce98463b95439475fcec29111,WETHContract,1
0x00077705952c90b728c6d7dc450beb4429331111,WETHContract,2
0x0007b980c03f153a94ddcd796f548ee216ded111,WETHContract,2
0x000a2e6e9552fdfd57275f882c369894e7957111,WETHContract,2
0x000a607b0c5ea26b3f24e8c78738c56c61235111,WETHContract,1
0x000ae1e2ba3624208300605d7919d6c4803c6111,WETHContract,1
0x000c1fa092591c77c86e3ebd39a4b82f52171111,WETHContract,1
0x000f143bd24c0d7aff43de524cb32c2f5a752171,WETHContract,1
0x000f5446f20f27bc4826a32ec05235a4215e6111,WETHContract,2
0x0042d6a66560fc330016e3e0ac8650f61836dafd,WETHContract,1
0x00642820ce8b8b6d4f650697a18ce169680717cf,WETHContract,1
0x0071c1b45565496d913f6e3b78437843adad84db,WETHContract,6
0x00d4b9c9d02991c5d9b1b1448f883be82654f28c,WETHContract,1
0x00fdf1e1ed8b5fb86c8fc9bc5f0639820187cb05,WETHContract,1
0x02461e4b454b745f8c4d921636814e3db70805ee,WETHContract,1
0x041d7e007b6841b9e6d5e236e78b6c01ab66659a,WETHContract,1
0x04776104757d207ca07a9b42fc720eb84ec937b4,WETHContract,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0x2889388b6808a7fa176fe30448461d3bbc994da6,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0x289d4ae72a64ff07cb3d80d5520b55ec04ec2aa9,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0x2d9bfefc3943900c7d3e74bbcf2ed10fd2a1380a,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0x2f74539ec09e24749f135247eb24fb56e756f27b,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0xc9ffb71c1760fbbb49b0cb3f02ca7d5727908315,1
0x047bf2d1e85edb7a56412b067afa07312477ff5d,0xf6f1f80f0b7308f5f797c213bbe44e5dbaba476e,2
0x047bf2d1e85edb7a56412b067afa07312477ff5d,WETHContract,7
0x04a39af7cb0349c76b56dade3205a228044ee431,WETHContract,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,0x047bf2d1e85edb7a56412b067afa07312477ff5d,2
0x05c996664fbf25c8225a8963f158eee4a90632a5,0x289d4ae72a64ff07cb3d80d5520b55ec04ec2aa9,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,0x87c31c658646c874cd81d4f268fb75d86c3e002c,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,0xc9ffb71c1760fbbb49b0cb3f02ca7d5727908315,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,0xcc98e9ccaf2d7ade07a96207632edf2719b5ccfc,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,0xf48c6c501cc56f4a09b625518fb529e406824610,2
0x05c996664fbf25c8225a8963f158eee4a90632a5,0xf6f1f80f0b7308f5f797c213bbe44e5dbaba476e,1
0x05c996664fbf25c8225a8963f158eee4a90632a5,WETHContract,7
0x061ed36d0d3c96e9a3e5811c76d1d10c8bc3b8b7,WETHContract,1
0x06539c73ad05e5fec431485e8908104c8c2a086a,WETHContract,1
0x068ffa6bb53f9a26a8a0350d19ca3450544f0344,WETHContract,1
0x06e8b59c2c6c761416dea1014600e88ecd34c783,WETHContract,1
0x071ee091ad119b55aa932905cba0ce2665c8c1ea,WETHContract,1
0x07c955e07c35459fb2f1b6fb972659b282a00ecd,WETHContract,1
0x07cf2df49f989974150ad00796c5c42bc70c151b,WETHContract,1
0x087542ff819de1cbf7d6f102852ce90b1d589e8a,WETHContract,1
0x08c417b989114c97af15458e2ecbdf56d13b3036,WETHContract,1
0x0a1bf921010fa5354ab27d3ee0b2e845df2efa51,WETHContract,1
0x0a3026ddea0352352aeacfcbedc612e3319ebbf8,WETHContract,4
0x0ba5f38d949be37b5af84a527c13e8d7095d8639,WETHContract,1
0x0bb454c2d4e642a5c18f1b3db4d020ba202907df,WETHContract,1
0x0c94097c460bcf30da8a5568ffbc5356e876d9ff,WETHContract,1
0x0d5958f7a90dee9315b1acd57825b6592cda699a,WETHContract,1
0x0dd692f37c21fbaef782cbc9fb7fd1ede6a50937,WETHContract,1
0x0df2cef5ee31b58deae39b5486b438c6d6266777,WETHContract,2
0x0e215fb836c685b2d40e8a5852c8890d0dc0f0fb,WETHContract,1
0x0e29a1ae96340752bcb06dca755cbc1e6a0101cb,WETHContract,1
0x0ed77d94d94f2e41deafc6c7ca5da5f898414f55,WETHContract,1
0x101745af21d0f0fa93f1758f38c252a1175b9941,WETHContract,1
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,0x289d4ae72a64ff07cb3d80d5520b55ec04ec2aa9,7
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,0x76999aed261fc44d04acf027635b96f23eff444e,2
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,0xcc98e9ccaf2d7ade07a96207632edf2719b5ccfc,1
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,0xe18159438734295bf8611df8ae91323b992a2bc4,3
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,0xf48c6c501cc56f4a09b625518fb529e406824610,1
0x1127db41c0dd1ca4a19cc47608bcb111c409f120,WETHContract,30
0x11462ae853e26f118cb56accd1661a6bb3daecc9,WETHContract,2
0x11712e2d0da1fc9ee8ba038a484abb3870adba20,WETHContract,1
0x1234567fe5adc6dfad0ea285df5b98ee8fa7355c,WETHContract,1
0x123791770351ccfcc96a3dba2658fe4200a66584,WETHContract,1
0x13c0f0edf71414f184f8134e2c773fd7ce0293bb,WETHContract,1
0x13e8d8c27f92f11731b6cfec799e2c7b64b3fbab,WETHContract,1
0x143659c9ede0782e235cdd21f59e3e8a5867e0d9,WETHContract,2
0x145e9873f093b3b2d2e5c03a2b04b673e0985f48,WETHContract,1
0x14c1373ad2d02cf1f952cb91d1570fd57ac11ecd,WETHContract,1
0x15cc1a7b548b5855dd1312f5e0a60aa87b68ab11,WETHContract,1
0x16c6f731f2a44958754829144a39c50ac491455d,WETHContract,1
0x16d3ec52f18671286a5e3bbe3689c936238003f0,WETHContract,1
0x17085202dc682fdcfa66114e9bd945a05f72c24f,WETHContract,1
0x1725d59d72fd581b83056cbcb29b86804e462783,WETHContract,1
0x173734a7a4e3cf170553b37a21eacfb9a92b1933,WETHContract,1
0x1787035c93f88c7989336ecf35ac68550fc60e6a,WETHContract,1
0x17c2e1598d4583c12b50c6ce668f778fcca08d38,WETHContract,1
0x17dfe336f7c9a6855d89d28a33367483c88a5fdc,WETHContract,1
0x182b62cd0bbc082e8f7eca0f2e1c5802c24d3317,WETHContract,1
0x186f5c42095b10a67f4a83fdcd1f6faf720342cf,WETHContract,1
0x18a0a25a8c1aad394f70bccf1bf8be107236eebb,WETHContract,1
0x193e75b60a4ca8bc842dc28604afc6c41afe972a,WETHContract,1
0x19ce3f049bb614606e72049a91f4a8a4257def4d,WETHContract,1
0x1af9b856246a13699354578a01701e3d1f1c8200,WETHContract,6
0x1b4d19e1fe25c5b3b4d1b4c98b530f9895993164,WETHContract,1
0x1c1cb9f364cbe40687413e4a76d7e7070a24e12d,WETHContract,1
0x1e420292c637b3704e7e900c6e33af9738f79afc,WETHContract,1
0x1e480ac9f07e757a8b08ce96f8ced1ac03037332,WETHContract,1
0x1f4ac5c1535f6b30cda57f353d88a1e5714fac1d,WETHContract,1
0x1fd230423888473d1bd2047d0d330f785228cfcd,WETHContract,1
0x22151708f205a7c4b2cf9bbb470b68476a82c693,WETHContract,2
0x22a91690022341301256127475d5e5d37e3e3e27,WETHContract,1
0x232b7845f69c1deeff8f7b3964bf909fd4973de6,WETHContract,1
